id,country,category,subcategory,domain,meta,last_found,first_found,found_by,getter_name
13,NL,Education,primary education,www.wegwijzer-westerbork.nl,"{'adres_straat': 'Homaat', 'adres_nummer': '2', 'postcode': '9431 MK', 'plaats': 'WESTERBORK', 'correspondentieadres_straat': 'Postbus', 'correspondentieadres_nummer': '44', 'correspondentieadres_postcode': '9430 AA', 'correspondentieadres_plaats': 'WESTERBORK', 'denominatie': 'Protestants-Christelijk', 'telefoonnummer': '0593331305'}",2023-05-13 16:23:24.968655,2023-05-13 16:23:24.968655,1,nl_onderwijs_all
14,NL,Education,primary education,www.deholtenhoek.nl,"{'adres_straat': 'Holtenweg', 'adres_nummer': '5', 'postcode': '9481 CN', 'plaats': 'VRIES', 'correspondentieadres_straat': 'Postbus', 'correspondentieadres_nummer': '25', 'correspondentieadres_postcode': '9480 AA', 'correspondentieadres_plaats': 'VRIES', 'denominatie': 'Protestants-Christelijk', 'telefoonnummer': '0592541644'}",2023-05-13 16:23:24.968655,2023-05-13 16:23:24.968655,1,nl_onderwijs_all
15,NL,Education,primary education,www.cbsdeschutkampen.nl,"{'adres_straat': 'Prins Hendrikstraat', 'adres_nummer': '2', 'postcode': '9422 GJ', 'plaats': 'SMILDE', 'correspondentieadres_straat': 'Prins Hendrikstraat', 'correspondentieadres_nummer': '2', 'correspondentieadres_postcode': '9422 GJ', 'correspondentieadres_plaats': 'SMILDE', 'denominatie': 'Protestants-Christelijk', 'telefoonnummer': '0592414010'}",2023-05-13 16:23:24.968655,2023-05-13 16:23:24.968655,1,nl_onderwijs_all
16,NL,Education,primary education,www.regenboogassen.nl,"{'adres_straat': 'Tuinstraat', 'adres_nummer': '5-B', 'postcode': '9404 KK', 'plaats': 'ASSEN', 'correspondentieadres_straat': 'Tuinstraat', 'correspondentieadres_nummer': '5-B', 'correspondentieadres_postcode': '9404 KK', 'correspondentieadres_plaats': 'ASSEN', 'denominatie': 'Protestants-Christelijk', 'telefoonnummer': '0592316723'}",2023-05-13 16:23:24.968655,2023-05-13 16:23:24.968655,1,nl_onderwijs_all
17,NL,Education,primary education,www.cbsprinsesbeatrix.nl,"{'adres_straat': 'Sportlaan', 'adres_nummer': '10', 'postcode': '9411 BG', 'plaats': 'BEILEN', 'correspondentieadres_straat': 'Postbus', 'correspondentieadres_nummer': '147', 'correspondentieadres_postcode': '9410 AC', 'correspondentieadres_plaats': 'BEILEN', 'denominatie': 'Protestants-Christelijk', 'telefoonnummer': '0593522718'}",2023-05-13 16:23:24.968655,2023-05-13 16:23:24.968655,1,nl_onderwijs_all
18,NL,Education,primary education,www.stroomdal.nl,"{'adres_straat': 'Esdoornlaan', 'adres_nummer': '1', 'postcode': '9471 SH', 'plaats': 'ZUIDLAREN', 'correspondentieadres_straat': 'Esdoornlaan', 'correspondentieadres_nummer': '1', 'correspondentieadres_postcode': '9471 SH', 'correspondentieadres_plaats': 'ZUIDLAREN', 'denominatie': 'Protestants-Christelijk', 'telefoonnummer': '0504093170'}",2023-05-13 16:23:24.968655,2023-05-13 16:23:24.968655,1,nl_onderwijs_all
19,NL,Education,primary education,www.eshorst.nl,"{'adres_straat': 'Esweg', 'adres_nummer': '106', 'postcode': '9411 AK', 'plaats': 'BEILEN', 'correspondentieadres_straat': 'Postbus', 'correspondentieadres_nummer': '108', 'correspondentieadres_postcode': '9410 AC', 'correspondentieadres_plaats': 'BEILEN', 'denominatie': 'Protestants-Christelijk', 'telefoonnummer': '0593523159'}",2023-05-13 16:23:24.968655,2023-05-13 16:23:24.968655,1,nl_onderwijs_all
20,NL,Education,primary education,www.jonglaren.nl,"{'adres_straat': 'Ludinge', 'adres_nummer': '6', 'postcode': '9471 JD', 'plaats': 'ZUIDLAREN', 'correspondentieadres_straat': 'Ludinge', 'correspondentieadres_nummer': '6', 'correspondentieadres_postcode': '9471 JD', 'correspondentieadres_plaats': 'ZUIDLAREN', 'denominatie': 'Protestants-Christelijk', 'telefoonnummer': '0504092079'}",2023-05-13 16:23:24.968655,2023-05-13 16:23:24.968655,1,nl_onderwijs_all
21,NL,Education,primary education,www.delichtbaak.nl,"{'adres_straat': 'Amstelstraat', 'adres_nummer': '14-B', 'postcode': '9406 TH', 'plaats': 'ASSEN', 'correspondentieadres_straat': 'Amstelstraat', 'correspondentieadres_nummer': '14-B', 'correspondentieadres_postcode': '9406 TH', 'correspondentieadres_plaats': 'ASSEN', 'denominatie': 'Protestants-Christelijk', 'telefoonnummer': '0592354150'}",2023-05-13 16:23:24.968655,2023-05-13 16:23:24.968655,1,nl_onderwijs_all
22,NL,Education,primary education,www.kompasassen.nl,"{'adres_straat': 'Einthovenstraat', 'adres_nummer': '26', 'postcode': '9402 CB', 'plaats': 'ASSEN', 'correspondentieadres_straat': 'Einthovenstraat', 'correspondentieadres_nummer': '26', 'correspondentieadres_postcode': '9402 CB', 'correspondentieadres_plaats': 'ASSEN', 'denominatie': 'Protestants-Christelijk', 'telefoonnummer': '0592354234'}",2023-05-13 16:23:24.968655,2023-05-13 16:23:24.968655,1,nl_onderwijs_all
23,NL,Education,primary education,www.scharmhof.nl,"{'adres_straat': 'Scharmbarg', 'adres_nummer': '1', 'postcode': '9407 EA', 'plaats': 'ASSEN', 'correspondentieadres_straat': 'Scharmbarg', 'correspondentieadres_nummer': '1', 'correspondentieadres_postcode': '9407 EA', 'correspondentieadres_plaats': 'ASSEN', 'denominatie': 'Protestants-Christelijk', 'telefoonnummer': '0592343800'}",2023-05-13 16:23:24.968655,2023-05-13 16:23:24.968655,1,nl_onderwijs_all
24,NL,Education,primary education,www.rehoboth-school.nl,"{'adres_straat': 'Rooilaan', 'adres_nummer': '154', 'postcode': '7876 GW', 'plaats': 'VALTHERMOND', 'correspondentieadres_straat': 'Rooilaan', 'correspondentieadres_nummer': '154', 'correspondentieadres_postcode': '7876 GW', 'correspondentieadres_plaats': 'VALTHERMOND', 'denominatie': 'Protestants-Christelijk', 'telefoonnummer': '0599662367'}",2023-05-13 16:23:24.968655,2023-05-13 16:23:24.968655,1,nl_onderwijs_all
25,NL,Education,primary education,www.basisschooldeborg.nl,"{'adres_straat': 'Dusselheugte', 'adres_nummer': '13', 'postcode': '9403 GN', 'plaats': 'ASSEN', 'correspondentieadres_straat': 'Dusselheugte', 'correspondentieadres_nummer': '13', 'correspondentieadres_postcode': '9403 GN', 'correspondentieadres_plaats': 'ASSEN', 'denominatie': 'Protestants-Christelijk', 'telefoonnummer': '0592370203'}",2023-05-13 16:23:24.968655,2023-05-13 16:23:24.968655,1,nl_onderwijs_all
26,NL,Education,primary education,www.kcdetol.nl,"{'adres_straat': 'De Hilde', 'adres_nummer': '1', 'postcode': '9472 WH', 'plaats': 'ZUIDLAREN', 'correspondentieadres_straat': 'De Hilde', 'correspondentieadres_nummer': '1', 'correspondentieadres_postcode': '9472 WH', 'correspondentieadres_plaats': 'ZUIDLAREN', 'denominatie': 'Protestants-Christelijk', 'telefoonnummer': '0504091804'}",2023-05-13 16:23:24.968655,2023-05-13 16:23:24.968655,1,nl_onderwijs_all
27,NL,Education,primary education,www.cbshetkrijt.nl,"{'adres_straat': 'Schoolstraat', 'adres_nummer': '29', 'postcode': '9408 MB', 'plaats': 'ASSEN', 'correspondentieadres_straat': 'Schoolstraat', 'correspondentieadres_nummer': '29', 'correspondentieadres_postcode': '9408 MB', 'correspondentieadres_plaats': 'ASSEN', 'denominatie': 'Protestants-Christelijk', 'telefoonnummer': '0592460370'}",2023-05-13 16:23:24.968655,2023-05-13 16:23:24.968655,1,nl_onderwijs_all
28,NL,Education,primary education,www.dekloostertuin.nl,"{'adres_straat': 'Aletta Jacobsweg', 'adres_nummer': '80', 'postcode': '9408 AM', 'plaats': 'ASSEN', 'correspondentieadres_straat': 'Aletta Jacobsweg', 'correspondentieadres_nummer': '80', 'correspondentieadres_postcode': '9408 AM', 'correspondentieadres_plaats': 'ASSEN', 'denominatie': 'Protestants-Christelijk', 'telefoonnummer': '0592350303'}",2023-05-13 16:23:24.968655,2023-05-13 16:23:24.968655,1,nl_onderwijs_all
29,NL,Education,primary education,www.ckcderietzanger.nl,"{'adres_straat': 'Borchsingel', 'adres_nummer': '39', 'postcode': '9766 PP', 'plaats': 'EELDERWOLDE', 'correspondentieadres_straat': 'Borchsingel', 'correspondentieadres_nummer': '39', 'correspondentieadres_postcode': '9766 PP', 'correspondentieadres_plaats': 'EELDERWOLDE', 'denominatie': 'Protestants-Christelijk', 'telefoonnummer': '0502053399'}",2023-05-13 16:23:24.968655,2023-05-13 16:23:24.968655,1,nl_onderwijs_all
